<Connection input:B  output:F signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:A  output:B signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:A  output:E signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:A  output:C signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:C  output:D signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:A  output:B signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:F  output:C signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:E  output:F signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:F  output:E signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:D  output:F signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:F  output:E signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:F  output:A signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:D  output:B signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:B  output:C signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:D  output:B signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:E  output:A signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:C  output:E signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:D  output:A signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:F  output:D signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:C  output:E signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:B  output:C signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:A  output:F signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:C  output:D signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:A  output:D signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:F  output:B signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:E  output:B signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:C  output:A signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:D  output:A signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:A  output:D signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:E  output:F signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:F  output:D signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:A  output:C signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:F  output:B signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:F  output:E signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:F  output:C signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:D  output:C signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:E  output:A signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:E  output:B signal_power:0.001000 latency:0.0 snr:0.000000>
<Connection input:A  output:E signal_power:0.001000 latency:0.0 snr:0.000000>
